防具总数: 284

=== 凡品 (12件) ===
名字                   物防     魔防     物攻     魔攻     神识     等级要求              价格  特殊属性
------------------------------------------------------------------------------------------------------------------------
铁桦衫                  64     29      0      0     19        0         280,000  -
犀皮褂                  61     28      0      0     21        0         280,000  -
玄胶衣                  58     29      0      0     20        0         280,000  -
青麻法衣                 62     30      0      0     20        0         280,000  -
粗布云帔                 61     29      0      0     18        0         280,000  -
藤纹道褂                 58     30      0      0     19        0         280,000  -
石底鞋                  60     30      0      0     21        0         280,000  -
犀皮靴                  57     31      0      0     20        0         280,000  -
玄胶履                  60     27      0      0     20        0         280,000  -
猎风戒                  36     16      0      0     10        0         210,000  -
碎岩环                  39     15      0      0      9        0         210,000  -
寒溪戒                  39     17      0      0      9        0         210,000  -

=== 灵品 (36件) ===
名字                   物防     魔防     物攻     魔攻     神识     等级要求              价格  特殊属性
------------------------------------------------------------------------------------------------------------------------
藤纹甲                  44     19      0      0     12        0       4,070,000  -
龟背胄                  43     21      0      0     12        0       4,070,000  -
石肤铠                  44     21      0      0     12        0       4,070,000  -
云纹软胄                 42     21      0      0     13        0       4,070,000  -
青鳞甲                  44     22      0      0     12        0       4,070,000  -
鹤羽衫                  47     20      0      0     12        0       4,070,000  -
玄蚕衣                  43     19      0      0     12        0       4,070,000  -
星砂铠                  49     21      0      0     12        0       4,440,000  -
玉髓褂                  50     22      0      0     14        0       4,960,000  -
麻衣道袍                 46     21      0      0     13        0       4,070,000  -
葛布玄衫                 42     19      0      0     13        0       4,070,000  -
素纱鹤氅                 46     19      0      0     13        0       4,070,000  -
流云法袍                 43     19      0      0     12        0       4,070,000  -
星纹鹤氅                 48     21      0      0     11        0       4,070,000  -
青鸾羽衣                 44     21      0      0     11        0       4,070,000  -
玄冰云裳                 47     19      0      0     12        0       4,070,000  -
玉蚕丝氅                 48     22      0      0     12        0       4,440,000  -
雷纹道衫                 49     23      0      0     14        0       4,960,000  -
麻履                   43     21      0      0     11        0       4,070,000  -
藤纹靴                  48     20      0      0     12        0       4,070,000  -
铁齿屐                  49     19      0      0     11        0       4,070,000  -
流云履                  43     21      0      0     13        0       4,070,000  -
青鸾靴                  41     20      0      0     13        0       4,070,000  -
星步屐                  43     21      0      0     13        0       4,070,000  -
玄蚕鞋                  46     22      0      0     13        0       4,070,000  -
玉髓靴                  43     22      0      0     13        0       4,440,000  -
雷纹履                  46     20      0      0     12        0       4,960,000  -
玄龟盾                  49     21      0      0     13        0       4,520,000  -
铁藤戒                  45     18      0      0     11        0       3,330,000  -
砾岩指环                 40     19      0      0     11        0       3,330,000  -
戍卫之戒                 43     20      0      0     12        0       3,330,000  -
青玉戒                  44     21      0      0     11        0       4,000,000  -
流云环                  43     21      0      0     12        0       4,000,000  -
星砂戒                  44     22      0      0     13        0       4,000,000  -
玄冰指环                 45     19      0      0     12        0       4,630,000  -
雷纹戒                  50     22      0      0     12        0       4,630,000  -

=== 地品 (30件) ===
名字                   物防     魔防     物攻     魔攻     神识     等级要求              价格  特殊属性
------------------------------------------------------------------------------------------------------------------------
赤焰胄                  53     23      0      0     16        0       5,480,000  -
熔核甲                  52     26      0      0     15        0       6,000,000  -
火浣衫                  59     27      0      0     15        0       6,000,000  -
焱鳞铠                  51     23      0      0     15        0       6,000,000  -
朱雀褂                  58     23      0      0     15        0       6,520,000  -
炎阳胄                  52     24      0      0     14        0       6,520,000  -
修士道袍                 59     25      0      0     16        0       6,000,000  -
化尘道袍                 66     29      0      0     17        0      14,650,000  -
赤焰法袍                 57     24      0      0     14        0       5,480,000  -
朱雀羽氅                 51     24      0      0     14        0       6,000,000  -
炎阳云裳                 52     27      0      0     16        0       6,000,000  -
焚天锦袍                 58     24      0      0     14        0       6,000,000  -
九日道衣                 55     23      0      0     15        0       6,520,000  -
燎原星帔                 56     24      0      0     15        0       6,520,000  -
紫微星袍                 60     31      0      0     17        0      14,650,000  -
赤焰靴                  55     24      0      0     16        0       5,480,000  -
朱雀履                  52     24      0      0     14        0       6,000,000  -
炎阳屐                  57     26      0      0     14        0       6,000,000  -
焚天靴                  54     26      0      0     15        0       6,000,000  -
九日鞋                  53     27      0      0     16        0       6,520,000  -
燎原履                  54     25      0      0     15        0       6,520,000  -
紫微步云履                63     29      0      0     17        0      14,650,000  -
赤霄环                  60     27      0      0     15        0       7,150,000  -
灵蚕环                  58     26      0      0     15        0       5,260,000  -
赤焰戒                  51     25      0      0     14        0       5,890,000  -
朱雀环                  53     25      0      0     15        0       6,520,000  -
炎阳戒                  59     25      0      0     14        0       6,520,000  -
焚天指环                 52     25      0      0     14        0       6,520,000  -
九日戒                  59     26      0      0     16        0       7,150,000  -
燎原环                  53     26      0      0     16        0       7,150,000  -

=== 天品 (37件) ===
名字                   物防     魔防     物攻     魔攻     神识     等级要求              价格  特殊属性
------------------------------------------------------------------------------------------------------------------------
天璇胄                  83     41      0      0     25        0      28,320,000  dodge_rate=1, crit_resist=5
紫绶衣                  90     38      0      0     25        0      28,320,000  dodge_rate=1, crit_resist=3
星河铠                  80     39      0      0     26        0      26,610,000  dodge_rate=3
玉衡甲                  83     41      0      0     27        0      27,470,000  dodge_rate=2
璇光衫                  81     43      0      0     26        0      28,320,000  crit_resist=5
斗魁褂                  89     41      0      0     25        0      28,320,000  dodge_rate=1, crit_resist=5
阴磷甲                  67     31      0      0     19        0      16,360,000  dodge_rate=2, crit_resist=2
御灵盾                  85     44      0      0     29        0      34,250,000  crit_resist=3
凤血魔袍                 90     47      0      0     30        0      34,250,000  dodge_rate=1
璇玑法氅                 74     32      0      0     19        0      15,500,000  dodge_rate=1
天权云裳                 73     29      0      0     20        0      15,500,000  dodge_rate=1, crit_resist=5
瑶光锦帔                 68     31      0      0     19        0      15,500,000  dodge_rate=3, crit_resist=2
玉衡玄衣                 76     31      0      0     19        0      16,360,000  dodge_rate=2
开阳道褂                 78     31      0      0     20        0      17,210,000  dodge_rate=3
寒月仙裳                 88     46      0      0     29        0      34,250,000  dodge_rate=1, crit_resist=4
玄冥法氅                 94     42      0      0     28        0      34,250,000  dodge_rate=2, crit_resist=5
霜魄云衣                 99     43      0      0     28        0      34,250,000  dodge_rate=1, crit_resist=3
广寒羽帔                100     43      0      0     30        0      34,250,000  dodge_rate=1, crit_resist=3
夜幽星袍                 92     41      0      0     30        0      34,250,000  dodge_rate=2
冰魄道衫                 93     48      0      0     31        0      34,250,000  dodge_rate=2
天权靴                  69     30      0      0     19        0      15,500,000  dodge_rate=3
璇光屐                  72     32      0      0     17        0      15,500,000  dodge_rate=3
玉衡鞋                  71     33      0      0     19        0      15,500,000  dodge_rate=2, crit_resist=3
